id,brand,year,engine_size,value
id_71170,vw,2011,1900,2650
id_91723,ford,2016,2200,8150
id_34871,ford,2014,1100,3350
id_35299,vw,2009,1500,7200
id_81242,vw,2009,3600,6850
id_67532,bmw,2015,2300,18250
id_75682,ford,2012,1600,2950
id_84322,kia,2014,1400,7900
id_5933,ford,2010,1800,2050
id_88322,ford,2008,1100,150
id_33547,kia,2008,800,150
id_51215,vw,2014,2300,11000
id_8970,bmw,2015,4000,15800
id_20341,vw,2008,1200,4450
id_63011,bmw,2017,4000,29000
id_40540,ford,2008,1600,150
id_78373,bmw,2013,4500,16000
id_81032,ford,2012,2500,4900
id_47581,vw,2016,3600,16100
id_23520,ford,2008,1100,150
id_97603,ford,2008,2500,150
id_24797,ford,2017,1100,7200
id_24938,vw,2014,3600,14500
id_80032,bmw,2016,2500,21150
id_13930,kia,2014,1100,4000
id_90222,vw,2016,1500,10400
id_30398,bmw,2009,2300,9050
id_84480,vw,2011,3600,7250
id_72975,kia,2014,800,3650
id_5029,vw,2013,2300,8000
id_71250,vw,2017,1700,12600
id_50457,ford,2012,1100,3400
id_99233,vw,2017,1900,10200
id_32349,bmw,2013,2500,6200
id_12379,ford,2013,2500,200
id_54975,ford,2016,2000,5750
id_211,bmw,2015,4000,19200
id_28385,ford,2013,1800,5800
id_69075,bmw,2010,1800,3500
id_50527,vw,2014,2300,12500
id_29972,ford,2013,2200,200
id_64632,vw,2014,1200,6050
id_25785,bmw,2008,3500,3850
id_69977,ford,2017,2200,12250
id_45158,kia,2008,800,150
id_41069,bmw,2014,2300,8650
id_40348,bmw,2017,4500,27150
id_30119,ford,2011,1600,600
id_50245,vw,2016,1900,10650
id_90991,kia,2017,800,5200
id_48579,bmw,2015,3000,21450
id_90008,vw,2016,3600,19550
id_9818,ford,2015,2200,9300
id_97017,ford,2015,3000,8550
id_85678,kia,2015,800,3750
id_29799,kia,2013,1000,4000
id_77175,bmw,2008,4500,6950
id_96968,ford,2010,1600,200
id_35289,bmw,2008,4500,10850
id_43691,ford,2016,1800,9050
id_12553,bmw,2010,4000,10750
id_82269,vw,2014,1700,7800
id_775,ford,2012,2000,3750
id_53089,ford,2017,2000,10000
id_10009,kia,2017,1100,7700
id_3101,ford,2017,1600,9200
id_81735,bmw,2011,2500,9650
id_8367,ford,2010,1800,2350
id_4254,vw,2008,1700,950
id_54777,bmw,2014,1800,7350
id_19248,ford,2011,2000,3550
id_6779,ford,2015,1100,5450
id_71608,vw,2015,1900,8850
id_12059,ford,2009,1100,200
id_69870,vw,2017,1500,10300
id_40323,ford,2016,1100,6250
id_8073,kia,2012,1200,4200
id_16333,kia,2012,1100,3450
id_20487,vw,2009,1900,1600
id_35790,bmw,2010,4000,1150
id_56865,ford,2009,1100,200
id_36147,vw,2015,3600,16850
id_71961,bmw,2014,2500,20400
id_10813,ford,2016,2500,11850
id_70329,ford,2015,1400,5700
id_31397,ford,2013,1800,4500
id_730,vw,2008,1900,5000
id_67714,vw,2016,2300,13700
id_24255,ford,2017,1800,9600
id_7188,ford,2014,1400,1600
id_99194,ford,2011,2200,4150
id_59426,ford,2016,2200,8300
id_58434,bmw,2008,2300,7050
id_98944,vw,2016,1900,10050
id_51069,ford,2008,2500,150
id_15830,ferrari,2014,5000,37150
id_16551,ford,2014,1800,6400
id_23481,vw,2012,1900,6600
id_32093,kia,2016,1200,6100
id_21625,ford,2016,3000,10750
id_97803,bmw,2010,2300,5200
id_85318,vw,2009,1900,2050
id_17543,ford,2017,2000,10300
id_70721,bmw,2012,4000,11500
id_76435,ferrari,2017,4500,119200
id_69727,ford,2013,1100,2400
id_96323,kia,2014,1400,7850
id_27400,ford,2015,1400,5900
id_14951,ford,2012,2500,200
id_76016,ford,2017,2500,10950
id_71582,ford,2009,1400,200
id_32600,vw,2008,3600,3900
id_77187,ford,2012,2000,4150
id_4755,bmw,2013,3500,18150
id_15300,vw,2016,1200,10300
id_94541,vw,2012,1900,5050
id_80202,bmw,2010,2300,9950
id_47366,vw,2016,1200,10100
id_31251,vw,2009,3600,8200
id_90716,ford,2016,1400,6300
id_4502,ford,2012,2500,3550
id_23907,bmw,2013,2300,16400
id_21222,bmw,2008,2300,6900
id_77923,bmw,2010,4000,700
id_56839,ford,2011,2200,2250
id_96486,ford,2016,2200,9000
id_34031,ford,2011,1400,2300
id_66960,bmw,2013,3000,17850
id_16735,vw,2016,2300,11550
id_83724,vw,2008,1900,3000
id_97160,bmw,2011,1800,12700
id_48444,ford,2011,2000,2700
id_25464,vw,2017,1200,10950
id_42783,ford,2015,1800,7050
id_29602,ford,2013,2500,5700
id_51756,ford,2014,1400,5800
id_98013,ferrari,2015,4500,106150
id_50888,vw,2013,2300,10700
id_5415,ford,2016,1400,6100
id_817,vw,2008,1700,5550
id_49127,vw,2016,1700,10100
id_21452,vw,2012,1200,8000
id_92782,ford,2016,3000,12800
id_90301,bmw,2015,1800,13850
id_6298,vw,2014,1200,9000
id_21215,ford,2017,3000,13350
id_26092,vw,2015,1200,8100
id_75932,vw,2013,1500,5100
id_30506,ford,2009,1800,200
id_77579,vw,2011,2300,6750
id_33972,bmw,2015,1800,17200
id_23556,vw,2008,3600,8600
id_88819,vw,2013,2300,8800
id_23746,bmw,2008,4000,6700
id_51021,kia,2017,1100,7550
id_40275,ford,2016,1800,7000
id_23389,vw,2011,1700,4050
id_29959,vw,2017,1700,13800
id_23641,ford,2014,2000,750
id_58802,vw,2013,2300,9400
id_90421,vw,2009,3600,9100
id_28621,vw,2011,1900,10250
id_36200,vw,2011,3600,8900
id_52325,bmw,2014,2300,16350
id_19538,ford,2010,1800,1750
id_67566,ford,2015,2000,3600
id_39946,kia,2014,1200,6500
id_91449,vw,2015,2300,13400
id_13142,ferrari,2016,3600,122500
id_60276,vw,2013,1200,6400
id_89690,bmw,2015,4500,29500
id_14487,vw,2014,3600,10900
id_44846,vw,2015,1700,10400
id_56495,ford,2014,1100,4250
id_40941,ford,2015,1400,5050
id_49371,vw,2012,1900,5300
id_81706,bmw,2010,2500,8150
id_37574,ford,2010,2500,3250
id_74833,kia,2009,1000,2750
id_73007,kia,2016,1400,8500
id_23936,vw,2012,2300,8950
id_46344,bmw,2012,1800,12950
id_54066,ford,2015,2500,5650
id_6452,ford,2011,2500,2750
id_31628,ford,2011,2200,2650
id_32781,vw,2008,1500,2550
id_90588,ford,2017,2200,11450
id_71759,ford,2009,1600,200
id_99373,kia,2010,1100,1500
id_13129,ford,2011,2200,2300
id_90722,bmw,2012,2300,15000
id_54818,vw,2009,1900,3200
id_16468,kia,2016,1400,8350
id_80631,kia,2016,1000,7350
id_23085,vw,2016,3600,17800
id_80897,vw,2017,1200,11200
id_97005,ford,2015,1400,2450
id_70984,ford,2016,2200,7900
id_17350,ford,2008,1800,150
id_66524,vw,2013,1500,7550
id_54490,bmw,2017,3000,26300
id_77543,bmw,2015,4000,16350
id_98338,ford,2016,3000,12000
id_14061,vw,2012,1200,5850
id_64684,kia,2016,1400,8650
id_42473,ford,2012,2200,5300
id_51559,vw,2008,2300,6400
id_26572,ford,2013,1400,3450
id_45368,kia,2011,1100,2450
id_86614,ford,2015,1600,7750
id_9221,vw,2014,1700,8600
id_63773,ford,2016,2000,9100
id_45122,vw,2014,1500,7050
id_66052,ford,2014,1600,5400
id_59271,vw,2013,2300,9550
id_5364,vw,2011,1200,1600
id_13092,ford,2010,2200,2500
id_8574,ford,2011,1600,3150
id_55381,bmw,2016,3500,28350
id_7231,bmw,2015,2300,13850
id_69956,vw,2015,3600,14950
id_92052,ford,2008,2200,150
id_9849,vw,2011,1700,5000
id_93356,ford,2017,2200,11900
id_59567,bmw,2010,4000,9650
id_9167,vw,2016,1500,7150
id_28077,ford,2015,1800,6150
id_16842,bmw,2014,4500,26500
id_49576,kia,2017,1400,8900
id_18078,vw,2015,2300,11300
id_6981,kia,2015,800,4350
id_15348,bmw,2015,2300,19900
id_92287,vw,2016,2300,11350
id_70734,bmw,2009,3500,10050
id_76436,ford,2009,2500,200
id_89713,ford,2013,2500,2200
id_65388,ford,2012,2000,4350
id_56618,vw,2016,2300,12300
id_71504,bmw,2016,3500,22500
id_43591,vw,2008,1900,2550
id_23464,bmw,2013,3500,15900
id_11357,ford,2017,2000,9300
id_48343,vw,2012,2300,4100
id_39285,ford,2016,1400,6300
id_23458,vw,2015,1700,10750
id_85137,ford,2017,1600,8650
id_79627,vw,2009,1200,1550
id_75206,ford,2010,1800,2200
id_42941,vw,2016,1500,9450
id_25307,kia,2013,800,2900
id_22830,ford,2013,1800,3600
id_77296,ford,2017,2000,12350
id_31186,kia,2008,1100,150
id_7946,bmw,2014,2300,18650
id_93449,bmw,2014,3500,18800
id_73069,ford,2016,1800,8900
id_58893,bmw,2010,2300,11500
id_69197,vw,2013,2300,9750
id_19012,bmw,2011,3500,12900
id_2747,bmw,2016,2300,20150
id_81005,vw,2016,1900,11900
id_44202,ford,2013,1600,250
id_54773,ford,2015,1800,7900
id_44103,bmw,2008,3000,6550
id_25044,ford,2017,1600,10950
id_95680,ford,2012,1600,3900
id_59961,ford,2011,1400,300
id_45854,vw,2014,1900,10700
id_40401,ford,2008,1400,150
id_84638,vw,2016,2300,13100
id_38775,bmw,2016,3000,23400
id_44358,ford,2017,2200,11300
id_2213,bmw,2013,3500,14150
id_27279,ford,2017,3000,13200
id_34135,kia,2009,800,1700
id_86020,bmw,2016,4000,27300
id_81036,vw,2009,1700,3750
id_19017,ford,2013,1100,250
id_19044,vw,2012,1500,2550
id_1261,ford,2014,1400,4450
id_22747,ford,2008,2000,150
id_47824,vw,2013,3600,12500
id_61868,ford,2013,2500,5600
id_87991,vw,2014,3600,13650
id_10566,bmw,2012,2500,14100
id_44488,ford,2013,2500,7350
id_60533,bmw,2016,4000,25450
id_68605,ford,2010,1600,3600
id_62582,kia,2017,1200,8550
id_72523,vw,2013,1500,5750
id_5726,ford,2010,3000,1300
id_69536,bmw,2013,3000,17950
id_35689,vw,2013,3600,15100
id_73931,kia,2008,1000,150
id_62636,vw,2014,1200,7450
id_72818,ford,2012,1400,3350
id_60471,ford,2011,2200,2350
id_13556,ford,2017,2200,10850
id_35368,ford,2012,3000,6400
id_85878,ford,2009,2500,3300
id_56509,bmw,2011,2300,2100
id_19801,bmw,2014,4000,23100
id_36187,bmw,2014,4000,18350
id_82868,ford,2010,1400,1450
id_8410,kia,2012,800,2650
id_30129,vw,2016,1500,9350
id_46657,kia,2016,1200,8150
id_10548,vw,2008,1200,3000
id_10747,bmw,2011,1800,9350
id_29706,bmw,2010,4000,13150
id_37740,bmw,2012,4000,16000
id_41137,vw,2008,1900,4600
id_68849,kia,2017,1200,9000
id_18130,ford,2017,2200,9500
id_57553,kia,2013,1100,2700
id_41915,vw,2011,1200,7250
id_77783,vw,2012,2300,9700
id_60091,vw,2009,1200,2000
id_39205,ford,2008,1400,150
id_76269,ford,2012,1800,3800
id_5302,ford,2013,2500,7000
id_2233,kia,2012,1200,4150
id_50424,ford,2014,1400,5050
id_37692,vw,2017,3600,20000
id_95295,vw,2012,1500,6900
id_44344,ford,2010,2500,3750
id_97278,kia,2016,1200,8800
id_22480,ford,2008,1400,150
id_37471,vw,2015,1200,8850
id_92842,kia,2008,1100,150
id_42636,ford,2017,1100,7550
id_22977,bmw,2017,3000,23700
id_1904,bmw,2015,3000,22650
id_90116,vw,2017,1500,11400
id_13404,vw,2009,1900,4100
id_32885,vw,2013,1900,7950
id_95380,ford,2014,2000,6500
id_54940,vw,2016,3600,17600
id_52053,ford,2010,3000,1400
id_98058,bmw,2010,4500,8700
id_59125,ford,2011,3000,5000
id_10480,vw,2017,1500,12600
id_53795,vw,2012,1900,9350
id_28139,bmw,2008,2300,3000
id_77634,kia,2010,1400,3750
id_57658,kia,2009,1100,1350
id_41498,ford,2009,1600,200
id_35899,vw,2009,1200,3250
id_47827,ford,2012,1600,200
id_83002,vw,2015,2300,11500
id_4510,bmw,2012,3500,18500
id_91367,kia,2012,1100,3650
id_41299,vw,2008,3600,10100
id_44779,ford,2009,2500,1250
id_88985,ford,2008,2200,150
id_36720,vw,2011,1700,3400
id_19239,bmw,2017,2500,27450
id_18722,vw,2011,3600,7100
id_57341,vw,2012,1200,6300
id_34852,ford,2008,2000,150
id_40279,bmw,2011,4500,14800
id_86429,bmw,2015,3500,23300
id_9403,ford,2009,2000,200
id_79971,vw,2014,1700,8950
id_58113,ford,2016,1800,9650
id_47504,bmw,2016,2300,22550
id_85867,vw,2013,3600,11850
id_79097,vw,2008,1200,1000
id_3150,bmw,2008,4500,7650
id_9463,bmw,2009,4500,9600
id_54074,kia,2011,1000,2000
id_26213,vw,2013,1500,8600
id_92477,vw,2017,1700,14500
id_7717,ford,2010,1400,2400
id_2610,ford,2013,3000,6300
id_1170,bmw,2013,2300,11650
id_71703,ford,2013,2200,6000
id_11326,ferrari,2010,5000,62350
id_62118,ford,2014,1100,2800
id_53506,vw,2012,2300,7650
id_89932,bmw,2012,2500,10350
id_61530,vw,2017,1500,9550
id_4429,vw,2013,3600,10600
id_42120,bmw,2015,3500,19650
id_71620,ford,2015,2500,8100
id_21214,vw,2009,1900,6350
id_16311,vw,2013,1900,9950
id_30849,ford,2013,2200,4750
id_9175,ford,2015,2200,8300
id_6451,ferrari,2016,6200,112400
id_69007,ford,2016,2200,11850
id_6544,vw,2016,1500,10500
id_65853,kia,2009,1100,750
id_44037,bmw,2011,2500,13750
id_99925,kia,2011,1000,1050
id_70656,ford,2012,3000,4700
id_32975,vw,2011,1700,3250
id_34446,kia,2011,1000,2250
id_32866,ford,2017,2500,10550
id_84187,ford,2016,2500,12150
id_80206,ford,2010,2000,1650
id_44521,ford,2015,1400,5350
id_63731,ford,2011,2500,3100
id_12923,ford,2011,2000,1300
id_8912,ford,2011,1800,3250
id_70251,bmw,2008,3500,5600
id_91646,kia,2008,1200,150
id_25486,bmw,2016,2500,23800
id_26913,ford,2012,1600,200
id_41695,bmw,2016,4500,27100
id_48017,kia,2016,800,5450
id_77563,ford,2012,2000,4950
id_70823,vw,2009,3600,9350
id_77700,ford,2016,1800,9150
id_8284,bmw,2016,2300,21550
id_35316,ford,2013,1600,300
id_12144,vw,2015,1900,9800
id_64868,bmw,2016,2500,18500
id_45863,ford,2011,1100,3450
id_98574,ford,2008,2500,150
id_95004,ford,2017,1600,7950
id_99046,ford,2017,3000,12800
id_65988,bmw,2011,2300,9400
id_55611,ford,2011,1400,2200
id_97755,bmw,2016,4000,25350
id_51580,vw,2017,1900,11800
id_7632,ford,2008,1400,150
id_67568,bmw,2010,2300,4950
id_52459,vw,2015,2300,10850
id_38104,vw,2009,1500,3700
id_62337,ford,2017,2200,11200
id_69222,bmw,2013,2500,13000
id_93828,ford,2013,1400,300
id_41230,ford,2013,3000,6250
id_53841,vw,2016,1700,12000
id_54457,vw,2014,2300,11200
id_36916,ford,2017,2200,10850
id_27583,kia,2009,1100,3650
id_47943,vw,2012,3600,9800
id_1400,ford,2013,1400,300
id_64505,vw,2017,1200,11600
id_94864,vw,2013,3600,11750
id_87399,vw,2008,2300,2750
id_51572,vw,2011,1500,4600
id_78252,ford,2016,2200,8600
id_8676,bmw,2011,4000,15000
id_77652,bmw,2010,3500,10350
id_158,ford,2013,1600,4150
id_77156,vw,2014,1700,7600
id_86891,ford,2008,2200,150
id_24861,vw,2013,1500,7150
id_45374,ford,2013,2500,3500
id_45266,vw,2008,1900,4050
id_40515,ford,2010,2500,1900
id_39874,ford,2017,2200,11250
id_71474,ford,2012,1600,200
id_72735,kia,2008,1400,200
id_41386,vw,2011,1900,8700
id_96994,bmw,2008,3500,8050
id_84324,ford,2014,2000,5850
id_89741,vw,2016,3600,17450
id_72882,ford,2013,1800,5650
id_400,ford,2017,1400,10450
id_98720,vw,2008,1700,3600
id_85125,ford,2014,2200,7000
id_78596,vw,2016,2300,12250
id_20778,ford,2012,2200,4700
id_72793,ford,2009,3000,200
id_27083,vw,2016,1900,10650
id_7401,ford,2014,1100,5250
id_62275,bmw,2013,2500,11550
id_21416,bmw,2017,2300,25850
id_71054,ford,2009,1600,200
id_69594,ford,2011,2200,2850
id_49890,ford,2016,1800,8100
id_89299,vw,2017,1700,12600
id_95180,bmw,2011,4500,15500
id_1076,ford,2017,1600,9600
id_90874,bmw,2012,3500,17150
id_32670,ford,2010,1400,1400
id_2029,ford,2012,3000,5250
id_16578,ford,2013,1400,2450
id_21501,vw,2014,3600,14150
id_95806,ford,2013,1800,4250
id_20350,vw,2012,1200,6500
id_10900,ford,2017,2000,11350
id_6392,ford,2010,1600,4050
id_74290,bmw,2016,4500,25650
id_59077,ford,2010,3000,2450
id_90469,bmw,2012,3000,14000
id_80251,ford,2011,2500,1500
id_66209,vw,2017,1700,14900
id_36711,bmw,2017,3000,23800
id_38592,kia,2008,800,200
id_20380,ford,2015,1400,5450
id_79907,vw,2016,3600,18700
id_30669,bmw,2014,4500,26000
id_31877,ford,2011,2500,5550
id_69100,ford,2012,1400,3450
id_31201,vw,2014,1200,8450
id_49910,ferrari,2012,4500,52050
id_80141,bmw,2017,3000,31050
id_4720,vw,2009,2300,2800
id_53235,vw,2014,1200,7500
id_35679,vw,2016,1500,8950
id_65055,vw,2011,1700,6300
id_86248,vw,2015,2300,11350
id_58488,vw,2016,3600,17350
id_21407,ford,2017,1600,11150
id_73404,ford,2016,2000,8700
id_27169,ford,2016,2200,10350
id_66696,vw,2015,1700,8300
id_11664,vw,2013,2300,8800
id_71397,ford,2011,2500,3350
id_48761,ferrari,2014,6200,98200
id_93681,ferrari,2008,5000,119850
id_53087,vw,2012,2300,7100
id_54209,vw,2015,1200,7150
id_46894,ford,2016,2000,7800
id_69180,vw,2017,1900,10600
id_46119,ford,2015,3000,10400
id_20782,bmw,2008,3500,5150
id_17900,vw,2012,1900,6800
id_73683,ferrari,2009,5700,8450
id_17521,ford,2011,1600,2450
id_36087,vw,2013,3600,13150
id_58240,ford,2010,2000,3350
id_31485,bmw,2017,2500,28550
id_50628,ford,2013,3000,1500
id_83113,ford,2015,1400,5900
id_99649,ford,2016,1800,7850
id_65649,vw,2011,1200,2700
id_73499,ford,2017,1400,9350
id_58980,ford,2011,1800,2250
id_77919,bmw,2017,4500,24450
id_4091,ford,2008,1400,150
id_21117,bmw,2010,1800,10250
id_79086,ford,2010,1800,1400
id_83423,bmw,2012,4500,12850
id_98112,bmw,2015,4000,19950
id_50100,vw,2009,1700,2750
id_58041,ford,2011,3000,2050
id_47846,ford,2015,2000,3950
id_44636,bmw,2008,4000,7050
id_85079,bmw,2011,1800,8250
id_60849,bmw,2008,2300,4550
id_3115,ford,2015,2200,7550
id_80770,ford,2008,1800,150
id_90210,vw,2015,1900,11700
id_5545,ford,2011,2200,4500
id_4184,vw,2014,1900,10100
id_7093,ford,2016,3000,9150
id_57858,kia,2009,800,650
id_21220,vw,2017,1500,11700
id_35574,ford,2009,3000,2600
id_12768,vw,2011,1700,3500
id_44692,ferrari,2013,5000,97150
id_80739,vw,2012,1200,3900
id_21913,bmw,2013,4500,18050
id_57314,bmw,2009,3500,7900
id_53158,kia,2013,1000,3800
id_39225,vw,2011,1500,4550
id_53581,ford,2014,1800,5600
id_16309,vw,2008,1900,2850
id_65642,vw,2009,1500,3450
id_21508,vw,2008,3600,5550
id_88234,bmw,2014,3000,17500
id_72437,bmw,2016,1800,14500
id_56407,ford,2017,2000,10650
id_70120,vw,2009,1200,2150
id_90616,vw,2009,1700,3300
id_37386,bmw,2015,3000,21300
id_67467,ford,2009,1400,2200
id_35156,ford,2013,1400,350
id_9592,bmw,2013,4000,11950
id_40248,ford,2012,2200,4000
id_39170,vw,2011,2300,7250
id_13819,bmw,2014,3500,14600
id_51154,vw,2012,1200,5200
id_61166,ford,2017,3000,14000
id_71788,bmw,2016,2300,17300
id_14427,kia,2012,1000,3450
id_17594,bmw,2014,1800,18800
id_79522,ford,2015,1800,6900
id_38206,ford,2014,2200,7000
id_25166,ford,2016,1800,9250
id_13487,ford,2011,3000,2950
id_99786,ford,2017,1100,8150
id_63957,kia,2017,1100,7300
id_31244,ford,2016,2000,11050
id_26064,ferrari,2011,3600,13150
id_35183,bmw,2014,2500,16950
id_69566,bmw,2009,4500,11100
id_73509,ford,2013,1400,2050
id_34211,ford,2017,1100,9300
id_76392,bmw,2016,3000,23150
id_93943,bmw,2014,4000,19150
id_45772,kia,2016,1100,6850
id_70749,vw,2011,3600,11950
id_74153,bmw,2011,3000,600
id_83600,ford,2013,3000,2550
id_86734,vw,2012,1900,8750
id_66015,vw,2013,1200,6050
id_23001,vw,2011,1200,3900
id_44666,bmw,2010,3500,12600
id_74529,vw,2009,1500,2900
id_9127,vw,2015,1200,7700
id_11062,bmw,2012,2300,10500
id_66820,ford,2015,3000,11500
id_3225,ford,2015,3000,10200
id_78635,kia,2017,1200,8600
id_41763,vw,2011,1200,3100
id_29028,vw,2013,1900,8350
id_56551,vw,2016,1700,9850
id_56695,vw,2013,1200,7650
id_34704,ford,2011,1100,1150
id_53479,ford,2009,1600,200
id_10493,ford,2013,1600,3400
id_20997,ford,2016,1400,7550
id_72404,vw,2011,1700,3750
id_63811,bmw,2014,2300,17450
id_83882,vw,2011,1500,3700
id_57706,ford,2009,1600,200
id_17732,vw,2014,1900,9400
id_23781,vw,2015,3600,15000
id_48732,kia,2014,1400,5500
id_59797,bmw,2012,3500,15200
id_85132,ford,2012,2000,5450
id_55893,ford,2008,2200,150
id_62432,bmw,2009,2300,7400
id_99223,ford,2014,2000,5250
id_93608,vw,2011,2300,7200
id_18993,vw,2017,3600,17300
id_77442,kia,2010,1000,150
id_91261,vw,2009,1500,4550
id_4148,kia,2014,1200,5450
id_64784,kia,2015,1000,4850
id_32125,ford,2016,2000,10750
id_3836,vw,2011,1200,4900
id_38613,vw,2011,3600,8800
id_70873,bmw,2013,2500,16550
id_37345,ford,2012,2000,3900
id_36334,bmw,2008,4500,9100
id_95362,vw,2009,1700,3550
id_54000,vw,2015,3600,12650
id_55200,vw,2011,1500,7850
id_16244,bmw,2012,4000,19150
id_55566,bmw,2015,2500,19600
id_99312,kia,2010,1000,1250
id_98219,bmw,2014,4500,23250
id_55467,ford,2017,2200,11150
id_71418,bmw,2011,4000,9850
id_34619,vw,2017,2300,13000
id_13893,vw,2016,3600,12350
id_84032,ford,2014,3000,6750
id_90942,ford,2015,1100,5550
id_27224,ford,2016,1400,7500
id_20839,ford,2016,1600,7050
id_50646,bmw,2011,1800,10750
id_81826,ford,2016,2200,7150
id_88602,ford,2014,1600,4600
id_79592,vw,2011,1900,7100
id_76197,kia,2011,1200,2300
id_69365,kia,2008,800,200
id_53858,ford,2011,2200,2250
id_98910,bmw,2012,4000,20500
id_78479,ford,2012,2200,200
id_80591,kia,2012,1400,4200
id_36803,vw,2011,1700,6150
id_45652,vw,2015,1200,7450
id_32741,ford,2009,2500,200
id_63038,vw,2011,1200,4100
id_69884,bmw,2017,4000,29800
id_52408,bmw,2012,3000,17250
id_45253,vw,2016,2300,11500
id_93512,vw,2011,3600,10950
id_42203,vw,2017,1900,13500
id_93934,ford,2017,2000,9750
